driver_id,first_name,last_name,fuel_purchase_count,total_fuel_cost,avg_cost_per_purchase
DRV00108,Joseph,Jones,1722,834320.11,484.51
DRV00051,Linda,Davis,1704,827779.4,485.79
DRV00087,William,Anderson,1703,826874.1,485.54
DRV00130,Karen,Lopez,1674,822158.42,491.13
DRV00078,John,Taylor,1681,815925.09,485.38
DRV00066,William,Wilson,1650,814558.94,493.67
DRV00024,Barbara,Martinez,1658,811588.56,489.5
DRV00085,Linda,Wilson,1649,810407.74,491.45
DRV00092,James,Davis,1662,810122.0,487.44
DRV00139,Sarah,Davis,1675,809570.05,483.33
DRV00019,Robert,Jackson,1663,808706.07,486.29
DRV00059,Barbara,Gonzalez,1662,808305.24,486.34
DRV00014,Richard,Miller,1630,805424.5,494.13
DRV00023,David,Smith,1649,804680.22,487.98
DRV00125,David,Smith,1635,804179.69,491.85
DRV00133,Mary,Wilson,1627,800759.17,492.17
DRV00147,Richard,Garcia,1641,800533.43,487.83
DRV00149,Linda,Jones,1648,798646.7,484.62
DRV00099,Michael,Williams,1619,794316.52,490.62
DRV00114,Thomas,Wilson,1614,793680.7,491.75
DRV00063,James,Jones,1622,793052.36,488.93
DRV00037,Jessica,Garcia,1641,790119.84,481.49
DRV00056,William,Wilson,1622,786699.45,485.02
DRV00150,Robert,Martin,1607,786035.48,489.13
DRV00148,Patricia,Anderson,1607,785498.51,488.8
DRV00015,Susan,Wilson,1620,785080.34,484.62
DRV00110,James,Gonzalez,1582,784791.43,496.08
DRV00103,Joseph,Hernandez,1589,784132.84,493.48
DRV00098,David,Anderson,1613,783481.57,485.73
DRV00038,William,Williams,1633,783045.19,479.51
DRV00055,Mary,Anderson,1593,779589.45,489.38
DRV00062,Jessica,Davis,1589,779225.42,490.39
DRV00010,Sarah,Gonzalez,1610,778722.9,483.68
DRV00013,Jessica,Jones,1587,778186.5,490.35
DRV00016,Thomas,Gonzalez,1622,777811.12,479.54
DRV00070,Sarah,Anderson,1579,777685.99,492.52
DRV00054,James,Williams,1604,776884.17,484.34
DRV00142,John,Thomas,1609,776564.47,482.64
DRV00011,Michael,Martinez,1577,774515.67,491.13
DRV00143,Linda,Smith,1592,773405.83,485.81
DRV00032,Michael,Anderson,1564,773258.55,494.41
DRV00145,Susan,Hernandez,1565,768988.08,491.37
DRV00083,Patricia,Martin,1573,768259.27,488.4
DRV00127,Thomas,Gonzalez,1576,767159.94,486.78
DRV00134,Linda,Moore,1586,766505.01,483.29
DRV00022,Charles,Moore,1580,765467.17,484.47
DRV00079,Patricia,Moore,1541,765101.53,496.5
DRV00081,Joseph,Hernandez,1577,764845.32,485.0
DRV00025,Jessica,Martinez,1598,764784.22,478.59
DRV00124,Thomas,Jackson,1573,764392.98,485.95
DRV00041,Karen,Martin,1540,764074.29,496.15
DRV00043,Mary,Williams,1559,762304.48,488.97
DRV00069,Patricia,Taylor,1547,761060.38,491.96
DRV00082,Michael,Anderson,1570,760529.47,484.41
DRV00050,Robert,Johnson,1568,759482.88,484.36
DRV00036,Michael,Thomas,1567,758575.13,484.09
DRV00117,Patricia,Moore,1568,758163.1,483.52
DRV00126,Sarah,Jackson,1566,757728.91,483.86
DRV00141,Thomas,Wilson,1586,757090.1,477.36
DRV00065,Robert,Brown,1569,754484.35,480.87
DRV00034,Thomas,Miller,1528,754265.36,493.63
DRV00045,Thomas,Martinez,1525,753138.87,493.86
DRV00044,Richard,Davis,1572,752344.7,478.59
DRV00039,Thomas,Martinez,1558,751872.13,482.59
DRV00128,John,Thomas,1529,750765.58,491.02
DRV00109,Joseph,Davis,1528,750291.83,491.03
DRV00020,Joseph,Martinez,1530,749609.68,489.94
DRV00138,Jennifer,Thomas,1534,749295.45,488.46
DRV00094,Mary,Taylor,1537,749069.92,487.36
DRV00132,Patricia,Gonzalez,1536,748671.97,487.42
DRV00090,David,Anderson,1565,747561.95,477.68
DRV00097,Thomas,Rodriguez,1529,747527.88,488.9
DRV00009,Karen,Hernandez,1524,743957.27,488.16
DRV00144,James,Gonzalez,1528,743739.43,486.74
DRV00118,Susan,Anderson,1517,743326.82,490.0
DRV00100,Jennifer,Martinez,1535,742865.27,483.95
DRV00105,Barbara,Moore,1531,742623.51,485.06
DRV00089,David,Thomas,1519,742272.86,488.66
DRV00088,Joseph,Garcia,1552,742185.0,478.21
DRV00146,Jessica,Gonzalez,1533,741519.66,483.7
DRV00047,Elizabeth,Miller,1509,739932.87,490.35
DRV00057,Thomas,Jackson,1515,739340.73,488.01
DRV00029,James,Martin,1527,738485.44,483.62
DRV00006,Robert,Taylor,1519,738348.78,486.08
DRV00003,Charles,Hernandez,1515,738003.43,487.13
DRV00018,Patricia,Martin,1529,737367.45,482.25
DRV00033,William,Anderson,1533,737203.9,480.89
DRV00017,William,Garcia,1524,735707.1,482.75
DRV00004,Barbara,Brown,1513,735323.67,486.0
DRV00129,Michael,Smith,1537,734222.15,477.7
DRV00104,Richard,Hernandez,1492,733812.78,491.83
DRV00028,Susan,Jackson,1488,733793.91,493.14
DRV00084,Jessica,Taylor,1528,733049.1,479.74
DRV00002,William,Martin,1517,732919.25,483.14
DRV00123,Michael,Gonzalez,1506,732098.32,486.12
DRV00121,Mary,Miller,1529,731515.3,478.43
DRV00001,Jennifer,Hernandez,1492,731167.91,490.06
DRV00107,Charles,Jones,1479,730633.81,494.01
DRV00026,Charles,Miller,1508,730179.88,484.2
DRV00071,Jessica,Johnson,1499,728717.06,486.14
DRV00060,Jessica,Thomas,1481,728588.86,491.96
DRV00030,Jessica,Hernandez,1505,726212.35,482.53
DRV00113,Mary,Williams,1466,725277.58,494.73
DRV00119,Jennifer,Wilson,1474,724941.46,491.82
DRV00058,David,Miller,1511,724146.17,479.25
DRV00101,John,Davis,1506,724049.14,480.78
DRV00061,Linda,Gonzalez,1493,723377.68,484.51
DRV00102,Elizabeth,Rodriguez,1461,720594.16,493.22
DRV00120,Jessica,Johnson,1476,719348.95,487.36
DRV00074,William,Brown,1452,715684.87,492.9
DRV00111,Richard,Jones,1478,715180.76,483.88
DRV00053,John,Martin,1484,714949.51,481.77
DRV00077,Patricia,Anderson,1453,713217.41,490.86
DRV00005,Mary,Martinez,1483,705418.92,475.67
DRV00075,John,Anderson,1429,699113.22,489.23
DRV00012,Robert,Moore,1442,698583.77,484.45
DRV00091,Linda,Rodriguez,1414,697724.13,493.44
DRV00112,Jennifer,Miller,1435,696099.01,485.09
DRV00095,Linda,Thomas,1411,689488.66,488.65
DRV00064,Michael,Smith,1420,681765.85,480.12
DRV00122,James,Wilson,1406,681723.74,484.87
DRV00049,John,Smith,1386,674095.93,486.36
DRV00035,Michael,Taylor,1389,670368.63,482.63
DRV00080,Richard,Martin,1393,670209.75,481.13
